is_2_8_7uM,,is_2_8_15uM,,is_2_8_31uM,,is_2_8_62uM,,is_2_8_125uM1,,is_2_8_250uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
740.4414673,-0.009302982129,740.4414673,-0.00901804585,740.4414673,-0.00860275235,740.4414673,-0.008816992864,740.4414673,-0.007826550864,740.4414673,-0.007026290521,
740.015686,-0.009247845039,740.015686,-0.008945832029,740.015686,-0.008673145436,740.015686,-0.008910582401,740.015686,-0.007784599438,740.015686,-0.00696459692,
739.447876,-0.009319553152,739.447876,-0.008920980617,739.447876,-0.008986149915,739.447876,-0.008928638883,739.447876,-0.007983385585,739.447876,-0.007310397923,
739.0219727,-0.009103683755,739.0219727,-0.008830183186,739.0219727,-0.008574683219,739.0219727,-0.008344070986,739.0219727,-0.007316557691,739.0219727,-0.006826249883,
738.4539795,-0.009204560891,738.4539795,-0.008762605488,738.4539795,-0.008411662653,738.4539795,-0.00847574044,738.4539795,-0.00739153754,738.4539795,-0.007217786741,
738.0279541,-0.009234261699,738.0279541,-0.008749363013,738.0279541,-0.008894250728,738.0279541,-0.008314562961,738.0279541,-0.007641325239,738.0279541,-0.007038923912,
737.4597778,-0.009942229837,737.4597778,-0.009688749909,737.4597778,-0.00938481465,737.4597778,-0.0093311565,737.4597778,-0.008190109394,737.4597778,-0.007856803946,
737.0335693,-0.009719126858,737.0335693,-0.009609861299,737.0335693,-0.009314941242,737.0335693,-0.009314586408,737.0335693,-0.008561282419,737.0335693,-0.007772852201,
736.4651489,-0.009558916092,736.4651489,-0.008916719817,736.4651489,-0.00871577207,736.4651489,-0.008634981699,736.4651489,-0.007845007814,736.4651489,-0.007162842434,
736.0388184,-0.009350006469,736.0388184,-0.009243384935,736.0388184,-0.0087985266,736.0388184,-0.008509553038,736.0388184,-0.007716706488,736.0388184,-0.007204038557,
735.4702148,-0.009699583985,735.4702148,-0.009381825104,735.4702148,-0.00907463301,735.4702148,-0.008903329261,735.4702148,-0.008372662589,735.4702148,-0.007815923542,
735.0437012,-0.009869055822,735.0437012,-0.009588237852,735.0437012,-0.009241255932,735.0437012,-0.009154631756,735.0437012,-0.008366061375,735.0437012,-0.007775191683,
734.4749146,-0.009568183683,734.4749146,-0.009289553389,734.4749146,-0.009378328919,734.4749146,-0.008712626062,734.4749146,-0.008189753629,734.4749146,-0.007685629651,
734.0482788,-0.00948633533,734.0482788,-0.009361153468,734.0482788,-0.008947049268,734.0482788,-0.00862741936,734.0482788,-0.008072123863,734.0482788,-0.007689342834,
733.4793091,-0.009367486462,733.4793091,-0.008855141699,733.4793091,-0.008662945591,733.4793091,-0.008627013303,733.4793091,-0.007949481718,733.4793091,-0.007693716791,
733.0524902,-0.009595681913,733.0524902,-0.00935162697,733.0524902,-0.008704050444,733.0524902,-0.008851438761,733.0524902,-0.007890562527,733.0524902,-0.007394133136,
732.4832764,-0.009421595372,732.4832764,-0.009117321111,732.4832764,-0.009098208509,732.4832764,-0.008591078222,732.4832764,-0.007939619943,732.4832764,-0.007410674822,
732.0563354,-0.009674016386,732.0563354,-0.009173995815,732.0563354,-0.008749464527,732.0563354,-0.008806136437,732.0563354,-0.007986486889,732.0563354,-0.007540999912,
731.4869385,-0.009746463969,731.4869385,-0.009381926619,731.4869385,-0.009241002612,731.4869385,-0.008859300986,731.4869385,-0.008198491298,731.4869385,-0.007937078364,
731.0598755,-0.009921027347,731.0598755,-0.009470733814,731.0598755,-0.009347168729,731.0598755,-0.009085076861,731.0598755,-0.008459595032,731.0598755,-0.008038989268,
730.4902954,-0.01010204572,730.4902954,-0.009945265949,730.4902954,-0.009814850055,730.4902954,-0.009379950352,730.4902954,-0.008847684599,730.4902954,-0.008378908969,
730.0630493,-0.01043292601,730.0630493,-0.009688546881,730.0630493,-0.009807663038,730.0630493,-0.009681256488,730.0630493,-0.00866000168,730.0630493,-0.008462336846,
729.4932861,-0.01057154313,729.4932861,-0.01044803765,729.4932861,-0.0100679528,729.4932861,-0.009900077246,729.4932861,-0.009090806358,729.4932861,-0.008916364983,
729.0658569,-0.01061600447,729.0658569,-0.01054360066,729.0658569,-0.01014387514,729.0658569,-0.01015009638,729.0658569,-0.009306934662,729.0658569,-0.009187276475,
728.4959106,-0.01118677761,728.4959106,-0.01088005211,728.4959106,-0.01073158346,728.4959106,-0.01026706211,728.4959106,-0.009685914032,728.4959106,-0.009350259788,
