mbg_3_138_250uM,,mbg_3_138_7uM,,mbg_3_138_15uM,,mbg_3_138_31uM,,mbg_3_138_62uM,,mbg_3_138_125uM,,mbg_3_138_250uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
740.015686,-0.008551383391,740.015686,-0.00998245459,740.015686,-0.009240090847,740.015686,-0.009516321123,740.015686,-0.00984845683,740.015686,-0.009488412179,740.015686,-0.008551383391,
739.447876,-0.008847583085,739.447876,-0.01015191711,739.447876,-0.0097628152,739.447876,-0.009734415449,739.447876,-0.009851847775,739.447876,-0.009829932824,739.447876,-0.008847583085,
739.0219727,-0.009218752384,739.0219727,-0.01018195786,739.0219727,-0.009905087762,739.0219727,-0.01010315865,739.0219727,-0.01033470966,739.0219727,-0.01015393995,739.0219727,-0.009218752384,
738.4539795,-0.009462122805,738.4539795,-0.01083687972,738.4539795,-0.01046875957,738.4539795,-0.01048771106,738.4539795,-0.01078577526,738.4539795,-0.01040927134,738.4539795,-0.009462122805,
738.0279541,-0.009674725123,738.0279541,-0.01079612784,738.0279541,-0.01069556922,738.0279541,-0.01075749286,738.0279541,-0.01110326592,738.0279541,-0.01076648291,738.0279541,-0.009674725123,
737.4597778,-0.009988577105,737.4597778,-0.01133826934,737.4597778,-0.01102508884,737.4597778,-0.01100928988,737.4597778,-0.01124555431,737.4597778,-0.01097466238,737.4597778,-0.009988577105,
737.0335693,-0.01020577643,737.0335693,-0.01156674232,737.0335693,-0.01110180281,737.0335693,-0.01131138485,737.0335693,-0.0114281904,737.0335693,-0.01119101606,737.0335693,-0.01020577643,
736.4651489,-0.01069592312,736.4651489,-0.01189202536,736.4651489,-0.0115389647,736.4651489,-0.01181121916,736.4651489,-0.01194929611,736.4651489,-0.0117011182,736.4651489,-0.01069592312,
736.0388184,-0.01111330837,736.0388184,-0.0121490052,736.0388184,-0.01187026408,736.0388184,-0.0118795326,736.0388184,-0.01182366349,736.0388184,-0.01204840746,736.0388184,-0.01111330837,
735.4702148,-0.01119712088,735.4702148,-0.01259150263,735.4702148,-0.01259230729,735.4702148,-0.01241277717,735.4702148,-0.01247978862,735.4702148,-0.0122771617,735.4702148,-0.01119712088,
