is_2_9_7uM,,is_2_9_15uM1,,is_2_9_31uM2,,is_2_9_15uM,,is_2_9_31uM,,is_2_9_62uM,,is_2_9_125uM,,is_2_9_250uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
766.4309082,-0.003514875658,766.4309082,-0.003310898552,766.4309082,-0.003845011815,766.4309082,-0.001815311378,766.4309082,-0.001355085056,766.4309082,-0.001005798578,766.4309082,-0.001929492806,766.4309082,-0.0008573248633,
766.0091553,-0.003636979731,766.0091553,-0.003432238242,766.0091553,-0.0033661786,766.0091553,-0.001394874998,766.0091553,-0.001090448233,766.0091553,-0.001610276289,766.0091553,-0.00202050712,766.0091553,-0.000782810559,
765.4466553,-0.003998059314,765.4466553,-0.003631229745,765.4466553,-0.003213062417,765.4466553,-0.001553637441,765.4466553,-0.001560240518,765.4466553,-0.001281017438,765.4466553,-0.002044571796,765.4466553,-0.0004378215817,
765.0247803,-0.003593081841,765.0247803,-0.003626917023,765.0247803,-0.003486270318,765.0247803,-0.001822786871,765.0247803,-0.001638386748,765.0247803,-0.001662678784,765.0247803,-0.001871503773,765.0247803,-0.0009961394826,
764.4620972,-0.003936036024,764.4620972,-0.003581785597,764.4620972,-0.003562427359,764.4620972,-0.001285869628,764.4620972,-0.001619148068,764.4620972,-0.001374232234,764.4620972,-0.001909081591,764.4620972,-0.001113273436,
764.0400391,-0.004003240261,764.0400391,-0.003737235675,764.0400391,-0.003764541354,764.0400391,-0.001627864898,764.0400391,-0.00174750993,764.0400391,-0.00171105261,764.0400391,-0.001971240155,764.0400391,-0.001213287469,
763.4771729,-0.003832285292,763.4771729,-0.003663983895,763.4771729,-0.003758639097,763.4771729,-0.001681606052,763.4771729,-0.00146923284,763.4771729,-0.001666340511,763.4771729,-0.002178319963,763.4771729,-0.001155047677,
763.0549316,-0.003977231681,763.0549316,-0.004132642876,763.0549316,-0.00411156565,763.0549316,-0.001640862436,763.0549316,-0.001944542979,763.0549316,-0.001523045241,763.0549316,-0.002363675274,763.0549316,-0.00115706143,
762.4918823,-0.004801199306,762.4918823,-0.004115822259,762.4918823,-0.004108181223,762.4918823,-0.001615692279,762.4918823,-0.001781076775,762.4918823,-0.001735392143,762.4918823,-0.002474572742,762.4918823,-0.001309304032,
762.069519,-0.004307683092,762.069519,-0.003804675769,762.069519,-0.00395122217,762.069519,-0.001648289384,762.069519,-0.001769836526,762.069519,-0.002367022214,762.069519,-0.00244610454,762.069519,-0.001380115515,
761.5062256,-0.004333364312,761.5062256,-0.004320139531,761.5062256,-0.003810988273,761.5062256,-0.002131492132,761.5062256,-0.002088781213,761.5062256,-0.002179350238,761.5062256,-0.002445641207,761.5062256,-0.001369432546,
760.9428711,-0.004614115693,760.9428711,-0.004209968727,760.9428711,-0.004283231217,760.9428711,-0.001785407774,760.9428711,-0.00183742831,760.9428711,-0.001840933925,760.9428711,-0.002573913429,760.9428711,-0.001606149832,
760.5202026,-0.004672252107,760.5202026,-0.003979642875,760.5202026,-0.004094282631,760.5202026,-0.002125516068,760.5202026,-0.0023332946,760.5202026,-0.001977991546,760.5202026,-0.002631757408,760.5202026,-0.00166231778,
759.956604,-0.004621952772,759.956604,-0.004834377673,759.956604,-0.003891039407,759.956604,-0.002526407596,759.956604,-0.002296628896,759.956604,-0.001853821916,759.956604,-0.002773041138,759.956604,-0.00173137011,
759.5338745,-0.0050009978,759.5338745,-0.004516316578,759.5338745,-0.004712865688,759.5338745,-0.002761929529,759.5338745,-0.002295804908,759.5338745,-0.002011179924,759.5338745,-0.002772989683,759.5338745,-0.001771641197,
758.9700317,-0.005113731138,758.9700317,-0.004194689449,758.9700317,-0.004775750916,758.9700317,-0.002398018492,758.9700317,-0.002781426301,758.9700317,-0.002715627663,758.9700317,-0.002837596694,758.9700317,-0.00206626486,
758.5471191,-0.004936456215,758.5471191,-0.004784046207,758.5471191,-0.004632351454,758.5471191,-0.002497839974,758.5471191,-0.002688821871,758.5471191,-0.002300594468,758.5471191,-0.003107545199,758.5471191,-0.001802215935,
757.9831543,-0.005169651937,757.9831543,-0.005035286769,757.9831543,-0.004627741408,757.9831543,-0.003113559447,757.9831543,-0.002563414164,757.9831543,-0.002719743643,757.9831543,-0.003159561893,757.9831543,-0.002261505229,
757.5600586,-0.004727256484,757.5600586,-0.004982777871,757.5600586,-0.005106004886,757.5600586,-0.003236598568,757.5600586,-0.002875142498,757.5600586,-0.002584257862,757.5600586,-0.003219743026,757.5600586,-0.002295341576,
756.9958496,-0.005522967782,756.9958496,-0.004771910608,756.9958496,-0.004736935254,756.9958496,-0.00295716594,756.9958496,-0.002923175693,756.9958496,-0.00285287248,756.9958496,-0.003382463241,756.9958496,-0.002156065777,
756.4315186,-0.005197993014,756.4315186,-0.004718704149,756.4315186,-0.004815279972,756.4315186,-0.002956497483,756.4315186,-0.002676987555,756.4315186,-0.002800150542,756.4315186,-0.003433522303,756.4315186,-0.002374642761,
