is_2_7_7uM,,is_2_7_15uM,,is_2_7_31uM,,is_2_7_62uM,,is_2_7_125uM,,is_2_7_250uM,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
731.4869385,-0.008644523099,731.4869385,-0.008741752245,731.4869385,-0.008682432584,731.4869385,-0.008455380797,731.4869385,-0.008826277219,731.4869385,-0.008253356442,
731.0598755,-0.009182663634,731.0598755,-0.00899558235,731.0598755,-0.00887309853,731.0598755,-0.008628383279,731.0598755,-0.008767527528,731.0598755,-0.008154899813,
730.4902954,-0.009492667392,730.4902954,-0.009123506024,730.4902954,-0.00898001343,730.4902954,-0.009036655538,730.4902954,-0.00911574997,730.4902954,-0.008634474128,
730.0630493,-0.009637661278,730.0630493,-0.009274603799,730.0630493,-0.009128676727,730.0630493,-0.008994213305,730.0630493,-0.008983563632,730.0630493,-0.00850863941,
729.4932861,-0.01006294508,729.4932861,-0.009497631341,729.4932861,-0.00957208313,729.4932861,-0.009191229939,729.4932861,-0.009761953726,729.4932861,-0.008987620473,
729.0658569,-0.01030690409,729.0658569,-0.009582262486,729.0658569,-0.009508521296,729.0658569,-0.009477369487,729.0658569,-0.009702470154,729.0658569,-0.008991423994,
728.4959106,-0.01041412354,728.4959106,-0.01010750886,728.4959106,-0.009995609522,728.4959106,-0.01001847722,728.4959106,-0.01019085851,728.4959106,-0.009429194964,
728.0683594,-0.01089353301,728.0683594,-0.01049008593,728.0683594,-0.0105666928,728.0683594,-0.01029289886,728.0683594,-0.01065116655,728.0683594,-0.009887628257,
727.4981689,-0.011540276,727.4981689,-0.01105678547,727.4981689,-0.01095694304,727.4981689,-0.01085243281,727.4981689,-0.01088797953,727.4981689,-0.01030730829,
727.0704956,-0.01157531235,727.0704956,-0.01125009451,727.0704956,-0.01117002685,727.0704956,-0.01120842248,727.0704956,-0.0112978667,727.0704956,-0.01038116682,
726.5001221,-0.01225536875,726.5001221,-0.01183928084,726.5001221,-0.01172319148,726.5001221,-0.01130861044,726.5001221,-0.01172943972,726.5001221,-0.01117335632,
725.9296875,-0.01251238585,725.9296875,-0.01218208019,725.9296875,-0.01217624079,725.9296875,-0.01204442885,725.9296875,-0.01225340553,725.9296875,-0.01129418425,
725.50177,-0.01277518272,725.50177,-0.01221031975,725.50177,-0.01245805621,725.50177,-0.01211512275,725.50177,-0.01220146101,725.50177,-0.01154012419,
724.9310913,-0.01343936007,724.9310913,-0.01284093224,724.9310913,-0.01268413197,724.9310913,-0.01249105763,724.9310913,-0.01284238975,724.9310913,-0.01218746696,
724.5029907,-0.01341893058,724.5029907,-0.01320850477,724.5029907,-0.01292436197,724.5029907,-0.01273893565,724.5029907,-0.0130614331,724.5029907,-0.01216652524,
723.9321289,-0.01390100364,723.9321289,-0.013450603,723.9321289,-0.01334573701,723.9321289,-0.01304148789,723.9321289,-0.01334408112,723.9321289,-0.01252360269,
723.5039063,-0.0138409799,723.5039063,-0.01355735119,723.5039063,-0.01349858567,723.5039063,-0.01336797792,723.5039063,-0.01357416157,723.5039063,-0.01252365299,
