is_2_3_31uM,,is_2_3_15uM,,is_2_3_62uM,,is_2_3_125uM,,is_2_3_250uM1,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
714.4968872,-0.01451129187,714.4968872,-0.01475972217,714.4968872,-0.01490256842,714.4968872,-0.01497189794,714.4968872,-0.01516732294,
714.0673218,-0.01431121398,714.0673218,-0.01462749019,714.0673218,-0.01462478749,714.0673218,-0.01486519724,714.0673218,-0.01490782108,
713.4944458,-0.01393850707,713.4944458,-0.01454013214,713.4944458,-0.01432313584,713.4944458,-0.0146107208,713.4944458,-0.01444329135,
713.0646973,-0.01379067916,713.0646973,-0.01433911547,713.0646973,-0.01433350518,713.0646973,-0.01436716504,713.0646973,-0.01445050258,
712.4916382,-0.01343765389,712.4916382,-0.01367676444,712.4916382,-0.01371845137,712.4916382,-0.01356352307,712.4916382,-0.01363577601,
712.0617676,-0.01334553678,712.0617676,-0.01343469229,712.0617676,-0.01345256064,712.0617676,-0.01362694614,712.0617676,-0.01361139212,
711.4884644,-0.01273305342,711.4884644,-0.01341561787,711.4884644,-0.01301284973,711.4884644,-0.01319549792,711.4884644,-0.01316626742,
711.0584717,-0.01233599242,711.0584717,-0.01285525691,711.0584717,-0.01243702695,711.0584717,-0.01249125879,711.0584717,-0.01289350446,
710.4849854,-0.01160787605,710.4849854,-0.01209221408,710.4849854,-0.01199165266,710.4849854,-0.01186981052,710.4849854,-0.0121223731,
710.0548096,-0.01111224853,710.0548096,-0.01151426136,710.0548096,-0.01170378923,710.0548096,-0.01162919775,710.0548096,-0.0116180582,
709.4812012,-0.01084894873,709.4812012,-0.01102100033,709.4812012,-0.01116170082,709.4812012,-0.0112396013,709.4812012,-0.01132172532,
709.0508423,-0.01044636965,709.0508423,-0.01055678912,709.0508423,-0.01060130261,709.0508423,-0.01082536671,709.0508423,-0.01091307215,
708.4770508,-0.009574362077,708.4770508,-0.01021376625,708.4770508,-0.009887071326,708.4770508,-0.01029901672,708.4770508,-0.01032909844,
708.0465698,-0.009286512621,708.0465698,-0.009711381048,708.0465698,-0.009501784109,708.0465698,-0.009707482532,708.0465698,-0.009834639728,
707.4725342,-0.008443245664,707.4725342,-0.008838604204,707.4725342,-0.008844590746,707.4725342,-0.008871831,707.4725342,-0.008839771152,
707.0419312,-0.008019269444,707.0419312,-0.008369006217,707.0419312,-0.008369666524,707.0419312,-0.008658681996,707.0419312,-0.00853920076,
