mbg_3_146_7uM,,mbg_3_146_15uM,,mbg_3_146_31uM,,mbg_3_146_62uM,,mbg_3_146_125uM,,mbg_3_146_250uM,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
737.4597778,-0.011270929,737.4597778,-0.011127691,737.4597778,-0.011184759,737.4597778,-0.010192527,737.4597778,-0.011106597,737.4597778,-0.010274293
737.0335693,-0.011402169,737.0335693,-0.011245454,737.0335693,-0.011153375,737.0335693,-0.010606103,737.0335693,-0.011500245,737.0335693,-0.010225498
736.4651489,-0.011720772,736.4651489,-0.011550812,736.4651489,-0.01170772,736.4651489,-0.010934832,736.4651489,-0.011899581,736.4651489,-0.010847938
736.0388184,-0.012196074,736.0388184,-0.01206301,736.0388184,-0.011839987,736.0388184,-0.011169522,736.0388184,-0.012039192,736.0388184,-0.010963758
735.4702148,-0.012704445,735.4702148,-0.012225522,735.4702148,-0.012316367,735.4702148,-0.011404287,735.4702148,-0.012737427,735.4702148,-0.011715329
735.0437012,-0.012652252,735.0437012,-0.012682925,735.0437012,-0.012690366,735.0437012,-0.011961032,735.0437012,-0.01304822,735.0437012,-0.012078065
734.4749146,-0.012990742,734.4749146,-0.013036966,734.4749146,-0.013010187,734.4749146,-0.012481499,734.4749146,-0.012979638,734.4749146,-0.012303785
734.0482788,-0.01354596,734.0482788,-0.01309494,734.0482788,-0.013221914,734.0482788,-0.012704596,734.0482788,-0.013485135,734.0482788,-0.012336395
733.4793091,-0.013731092,733.4793091,-0.013447893,733.4793091,-0.013559108,733.4793091,-0.012952402,733.4793091,-0.013825735,733.4793091,-0.01294793
733.0524902,-0.014010297,733.0524902,-0.014178596,733.0524902,-0.014043882,733.0524902,-0.01335111,733.0524902,-0.014071149,733.0524902,-0.013250738
732.4832764,-0.014475641,732.4832764,-0.014292879,732.4832764,-0.013983127,732.4832764,-0.013559057,732.4832764,-0.014472235,732.4832764,-0.013644406
732.0563354,-0.014681649,732.0563354,-0.014654521,732.0563354,-0.014511142,732.0563354,-0.013801512,732.0563354,-0.014700018,732.0563354,-0.013695527
731.4869385,-0.014973898,731.4869385,-0.014938335,731.4869385,-0.014779287,731.4869385,-0.014111194,731.4869385,-0.014904018,731.4869385,-0.014024784
731.0598755,-0.015444856,731.0598755,-0.015212516,731.0598755,-0.015132975,731.0598755,-0.014777937,731.0598755,-0.015301839,731.0598755,-0.014311715
730.4902954,-0.015691504,730.4902954,-0.015560056,730.4902954,-0.015294791,730.4902954,-0.014910372,730.4902954,-0.01556675,730.4902954,-0.014677195
730.0630493,-0.015666787,730.0630493,-0.015555061,730.0630493,-0.015649857,730.0630493,-0.015331076,730.0630493,-0.015756864,730.0630493,-0.014827924
729.4932861,-0.016305517,729.4932861,-0.015873179,729.4932861,-0.016010271,729.4932861,-0.015775736,729.4932861,-0.01628248,729.4932861,-0.015268101
729.0658569,-0.01611699,729.0658569,-0.016226027,729.0658569,-0.01595463,729.0658569,-0.015864095,729.0658569,-0.016289661,729.0658569,-0.015439061
728.4959106,-0.016438186,728.4959106,-0.016409772,728.4959106,-0.016534384,728.4959106,-0.01624787,728.4959106,-0.016681978,728.4959106,-0.0155658
728.0683594,-0.016870013,728.0683594,-0.016578786,728.0683594,-0.016736628,728.0683594,-0.016242834,728.0683594,-0.016753417,728.0683594,-0.016072938
727.4981689,-0.017121576,727.4981689,-0.01713367,727.4981689,-0.01711645,727.4981689,-0.017037654,727.4981689,-0.017265886,727.4981689,-0.016232111
727.0704956,-0.017098183,727.0704956,-0.017222051,727.0704956,-0.016985731,727.0704956,-0.016941419,727.0704956,-0.017653795,727.0704956,-0.016432004
726.5001221,-0.017650167,726.5001221,-0.01761855,726.5001221,-0.017283101,726.5001221,-0.017566247,726.5001221,-0.017550586,726.5001221,-0.016733689
725.9296875,-0.018106462,725.9296875,-0.017559834,725.9296875,-0.017608756,725.9296875,-0.017787592,725.9296875,-0.017951602,725.9296875,-0.01694824
725.50177,-0.017739685,725.50177,-0.017753601,725.50177,-0.017766373,725.50177,-0.017839966,725.50177,-0.017916679,725.50177,-0.016966015
724.9310913,-0.018243894,724.9310913,-0.018162325,724.9310913,-0.017787742,724.9310913,-0.018205967,724.9310913,-0.018016325,724.9310913,-0.017249716
724.5029907,-0.01837483,724.5029907,-0.018169027,724.5029907,-0.018160239,724.5029907,-0.018344259,724.5029907,-0.018112769,724.5029907,-0.017426513
723.9321289,-0.018547053,723.9321289,-0.018359594,723.9321289,-0.018546754,723.9321289,-0.018561091,723.9321289,-0.01867274,723.9321289,-0.017734863
723.5039063,-0.018482806,723.5039063,-0.018620268,723.5039063,-0.018573344,723.5039063,-0.018930398,723.5039063,-0.018722478,723.5039063,-0.017778201
722.9328613,-0.018944426,722.9328613,-0.018642338,722.9328613,-0.018542787,722.9328613,-0.018867696,722.9328613,-0.01869213,722.9328613,-0.017966902
722.5045166,-0.018885393,722.5045166,-0.0187678,722.5045166,-0.018901106,722.5045166,-0.019040862,722.5045166,-0.018787285,722.5045166,-0.018054519
721.9332886,-0.01894393,721.9332886,-0.019069403,721.9332886,-0.018814702,721.9332886,-0.01897773,721.9332886,-0.018942492,721.9332886,-0.018212022
721.5047607,-0.019193403,721.5047607,-0.018674674,721.5047607,-0.019057313,721.5047607,-0.019075448,721.5047607,-0.018907104,721.5047607,-0.01832803
720.9332886,-0.01938273,720.9332886,-0.018966578,720.9332886,-0.019102946,720.9332886,-0.019054886,720.9332886,-0.019136287,720.9332886,-0.018447578
720.5046387,-0.019393969,720.5046387,-0.019068114,720.5046387,-0.019231791,720.5046387,-0.019336781,720.5046387,-0.019058403,720.5046387,-0.018661531
719.9329834,-0.019387729,719.9329834,-0.01879626,719.9329834,-0.018930102,719.9329834,-0.018931836,719.9329834,-0.018855799,719.9329834,-0.018235257
719.5042114,-0.019348318,719.5042114,-0.0191187,719.5042114,-0.018928019,719.5042114,-0.019054241,719.5042114,-0.018926483,719.5042114,-0.018199412
718.932373,-0.019364806,718.932373,-0.019108396,718.932373,-0.018900808,718.932373,-0.019178543,718.932373,-0.018687865,718.932373,-0.01833334
718.503418,-0.019384265,718.503418,-0.019084316,718.503418,-0.018726792,718.503418,-0.019277306,718.503418,-0.018659648,718.503418,-0.018443609
717.9313965,-0.019242192,717.9313965,-0.018890696,717.9313965,-0.018974211,717.9313965,-0.019084563,717.9313965,-0.018521404,717.9313965,-0.018406691
717.5023193,-0.019306673,717.5023193,-0.019112805,717.5023193,-0.018890399,717.5023193,-0.01900355,717.5023193,-0.018566052,717.5023193,-0.018370265
716.9300537,-0.019253038,716.9300537,-0.019045025,716.9300537,-0.018746777,716.9300537,-0.019051021,716.9300537,-0.018382126,716.9300537,-0.018246675
716.5008545,-0.019053597,716.5008545,-0.01871757,716.5008545,-0.018740578,716.5008545,-0.018999336,716.5008545,-0.018141223,716.5008545,-0.018173695
715.9284058,-0.018949382,715.9284058,-0.018353788,715.9284058,-0.018647695,715.9284058,-0.018739587,715.9284058,-0.01794574,715.9284058,-0.017852787
